Word	Pronunciation	POS	Meaning	Verb Class		Volition status				first number is used in counting up from 1 (hai is also used in time); second number is the generally used modifier (number + noun) 				tanmqe/ camgyu 								teptyu (coinage system)					
maeindir	meindiɾ	n	mill																								
maeu	meu	n	remorse																								
mahwun	mɑhʷun	n	fire coral	marine; wbw																							
mai	mai	n	heart (sometimes used to mean "love" or "empathy/understanding")	body																							
maicael	maɪçel	n	fulfillment that comes from patience and self-control (from heart or delicious self-control)																								
maidi	maɪdi	n	oil; burnable liquid; kerosene fuel																								
maima	maɪmɑ	n	habit 																								
maiv 	maɪv	n	age; distinct period of history; (lit. past age)																								
makano	mɑkɑno	n	coal; charcoal (fire stone); fuel																								
makhov	mɑkʰov	n	train (fire wagon)																								
makhsho	mɑkʰʃo	n	train conductor/ captain																								
makrovh	mɑkɾoβ	n	fire bush	plant																							
manaeksae 	mɑnekse	n	pyrosomes (related to salps; tubular deep sea colonial creatures made up of luminescent zooids reminiscent of fire)	marine; wbw																							
manaj	mɑnɑʒ	n	cheek	body																							
mang	mɑŋ	n	carving																								
mangani	mɑŋɡɑni	n	dragonfly																								
mangka	mɑŋkɑ	n	cutter; carver; mason (person)																								
mangno	mɑŋno	n	cutter; chisel; carving knife																								
mangtheka	mɑŋθɛkɑ	n	wood cutter; carpenter																								
mangtheno	mɑŋθɛno	n	wood carving tools																								
mani	mɑni	n	swirl; spiral																								
maniiphai	manɪɸaɪ	n	A long, narrow and thin cut off meat spread with an herb mixture on one side and rolled into a swirl before being cooked. Often called pinwheels in English speaking meat markets. (Lit: Spiral Meat)	food; wbw																							
manika	mɑnikɑ	n	the watch; guard																								
manikano	mɑnikɑno	n	winding mountain range; boulders set up in a swirling pattern for aesthetic and/or warding purposes; a giant stone statue/sentinel used for guarding straits																								
manuvu	mɑnuvu	n	firewood (from energy/fire; lumber; and burn); fuel																								
maohe	maʊhɛ	n	emotional tension																								
maohetosaukhae	maʊhɛtosaʊkʰe	n	the emotional energy that comes from listening to the sound of boiling water																								
maomet	maʊmɛt	n	adrenaline (from fill with emotional tension)																								
maqeton	mɑqɛton	n	explosion																								
maqetonauri	mɑqɛtonaʊɾi	n	fireworks (festival explosion)																								
maqetonkha	mɑqɛtonkʰɑ	n	landmine																								
maqetonwyn	mɑqɛtonwən	n	explosion rune	culture																							
maqeute	mɑqœtɛ	n	cannon (from explode tube)																								
maqfe	mɑqfɛ	n	windward																								
maqirei	mɑqiɾei	n	fire opal	stone 																							
maqoxo	mɑqoxo	n	phoenix (lit fire feather)	animal; bird																							
masiik	mɑsɪk	n	bathroom; restroom; lavatory (wash room)																								
masohu	mɑsohu	n	coffee (from energy tea)	food																							
mat	mɑt	n	library (often associated with temples/churches; and used as places to care for needy in community)	culture																							
mate	mɑtɛ	n	ability																								
matyau	mɑtʲaʊ	n	fire metal; meteor iron (netherite)																								
mauu	maʊu	n	wolf	animal; mammal																							
mauuojg	maʊuoʒɡ	n	wolf bark (similar to cinnamon and suits savory dishes)	spice; wbw																							
mav	mɑv	n	eyebrows	body																							
mavhe	mɑβɛ	n	spear																								
mavhka	mɑβkɑ	n	spearman																								
mavzi	mɑvzi	n	an eyebrow	body																							
mbaeme	m̩bemɛ	n	division																								
mbaeno	m̩beno	n	axe; splitter																								
mbaete	m̩betɛ	n	pass; strait; divide (usually easily traversed sailing or caravanning)																								
mbaetheka	m̩beθɛkɑ	n	lumberjack; wood splitter																								
mbaetheno	m̩beθɛno	n	saw (wood splitter)																								
mbaeute	m̩beutɛ	n	difference																								
mbau	m̩bɑʊ	n	rejection; refusal																								
mbe	m̩bɛ	n	mouth 	body																							
mbys	m̩bəs	n	morning	time																							
me'e	mɛʔɛ	n	weather	weather																							
mekiniik	mɛkinɪk	n	cactus (lit green spine)	plant																							
meu	mœ	n	clouds	weather																							
meuben	mœbɛn	n	air ship (lit. cloud ship)																								
meume'e	mœmɛʔɛ	n	cloudy weather	weather																							
meun	mœn	n	east	direction																							
meut	mœt	n	owl	animal; bird																							
meutik	mœtik	n	cloud cap mushroom (fluffy and white; large mushrooms that while not edible can increase plant growth through spores that act as fertilizer)	plant; wbw																							
miari	miɑɾi	n	hair pin; hair stick																								
midanu	midɑnɔ	n	best friend	family																							
mien	miɛn	n	pearl																								
miha	mihɑ	n	promise; vow; commitment																								
mihan	mihɑn	n	parent (often just han; mi can be analyzed as promise or meliorative marker)																								
mihawa	mihɑwɑ	n	covenant (from vow paradise; sometimes mihava)																								
mihozi	mihozi	n	spouse; marriage partner (from promise and lover)																								
miinme	mɪnmɛ	n	subtraction																								
miiqi'mang	mɪqiʔmaŋ	n	atonement (has senses of being made whole or a cure as well as perfection or sacrificing through taking the place of)																								
miisruii	mɪsɾuɪ	n	metal slag (from melt ore)																								
miitaka	mɪtɑkɑ	n	tragic hero (usually one who sacrifices themselves for others)																								
miitakaeyojmoitohe	mɪtɑkejomɔɪtohɛ	n	feeling of willingness to sacrifice your life for your child																								
mikil	mikil	n	medicine; medicinal herbs																								
mikilka	mikilkɑ	n	doctor 																								
mikilnaec	mikilneç	n	hospital																								
mil	mil	n	cream	food																							
milanai	milɑnaɪ	n	diced fruits mixed with an airy cream (whipped cream). Served cold and sometimes with small amounts of angel food cake	food; wbw																							
minga	miŋɑ	n	spice																								
mingaka	miŋɑkɑ	n	apothecary (also called a mikilka)																								
miohe	miohɛ	n	feeling of relief (from good.mood feeling)																								
miohuji	miohuʒi	n	fulfillment (also hiwajo)																								
mirikhomb	miɾikʰomb	n	comb cheese																								
mirin	miɾin	n	comb																								
miyaen	mijen	n	good mood; happy and relaxed state; chill; gladness																								
moi	mɔɪ	n	will; volition; intent																								
moite	mɔɪtɛ	n	willingness																								
moj	moʒ	n	surface tension 																								
mojang	moʒɑŋɡ	n	pressure plate (from make surface tension)																								
mojg	moʒg	n	hooves	body																							
mokvetsume 	mokvɛtsumɛ	n	homework (from home study)																								
mona	monɑ	n	home	family																							
monakuyohe	monɑkujohɛ	n	home vibes																								
monamiik	monɑmɪk	n	perfect (complete) home (not necessarily perfect as in ideal; just what you need)																								
monarhivytte	monɑɾ̥ivəttɛ	n	a clean and well kept home																								
monat	monɑt	n	center; middle; median																								
mujiae	muʒie	n	tiger turtle (or death tiger; take your pick lol); often called nwajiae "tiger otters" when young since they have many characteristics of otters as kittens; as they grow older they take more turtle characteristics and resemble floating islands)	animal; mammal; WbW																							
mukaeka	mukekɑ	n	murderer																								
mukufe	mukufɛ	n	downwind																								
mul	mul	n	death																								
Mul Qat	mul qɑt	n	Death; grim reaper	name																							
mun	mun	n	string; thread; strand (for sewing)																								
munde	mundɛ	n	yarn; cord (from string spin)																								
munyoj	muɲoʒ	n	guitar (lit pleasing string)																								
musn	musn	n	delight																								
mutae	mute	n	a hunt																								
muyn	muən	n	hunting instinct (from hunt or death within)																								
myauci	mjaʊçi	n	cookie	food																							
mybi	məbi	n	mama; mom (when addressing)	family																							
mychoiokkingohe	mətʃojokːŋohɛ	n	the delicate feeling of another person's touch (from good touch another person intimate feeling or mi-chome-iovi-kaun-kimang-ohe)																								
myiib	mʲɪb	n	surprise																								
myu	mʲu	n	turtle (often just mu)	animal; reptile																							
myukha	mʲukʰɑ	n	armadillo (from ground turtle)	animal; mammal																							
myvh	məβ	n	mother (used with demonstrative pronoun ie. my mom)	family																							
nacano	nɑçɑno	n	button																								
naec	neç	n	house																								
naecamba	neçɑmbɑ	n	stable; barn (lit. cow house)																								
naeksae 	nekse	n	salps (deep sea colonial creatures made of semi-luminescent barrel shaped zooids)	marine; wbw																							
naeme	nemɛ	n	addition																								
naeyu	neju	n	octopus	animal; fish 																							
naeyuchae	nejutʃe	n	argonaut (shell-octopus)	animal; fish																							
nagu	nɑɡu	n	sheep																								
nai	naɪ	n	fruit	food																							
naikh	naɪkʰ	n	frozen fruit treat often eaten during hot summer days; held by a stick frozen from the center and out	food; wbw																							
nairiis	naɪɾɪs	n	white currant (lit pale fruit)	food																							
nakh	nɑkʰ	n	arms (pl); also meter; yard (3-4ft)	measure; body																							
nammil	nɑmːil	n	yogurt (from fruit cream)	food																							
nara	nɑɾɑ	n	monkey	animal; mammal																							
ndisae	n̩dise	n	glass egg (pale white or yellow; novelty gemstone sold in shops; believed to bring good harvest)	stone; wbw; culture																							
ndu	n̩du	n	egg																								
nei'e	neiʔɛ	n	labrododite	stone																							
nephuiimb	nɛɸuɪmb	n	meat pie; empanada 	food; wbw																							
neta	nɛtɑ	n	duty; responsibility; obligation																								
nete	nɛtɛ	n	cap; hat																								
nethamba	nɛtʰɑmbɛ; nɛθɑmbɛ	n	steak mushroom; red and white marbled; very good substitute for beef	food; wbw																							
ngana	ŋɑnɑ	n	taste; flavor																								
ngon	ŋon	n	void																								
ngos	ŋos	n	scales																								
nietya	niɛtʲɑ	n	resting place; settling place; place of meditation of calming; safe and peaceful place often with the feeling of home; ideal place to live																								
niikksam	nɪkːsɑm	n	needle mountains																								
niiphai	nɪɸai	n	meat; flesh																								
nilo	nilo	n	ball																								
nmu'u	nmuʔu	n	mind; brain	body																							
nmuth	nmuθ	n	table																								
no'an	noʔɑn	n	wedding; marriage																								
no'anliis	noʔɑnlɪs	n	wedding day																								
noa	noɑ	n	heat	weather																							
noaka	noɑkɑ	n	cook (person)																								
noakeij	noɑkeɪʒ	n	volcano																								
noaliis	noɑlɪs	n	hot day; summer day																								
noame'e	noɑmɛʔɛ	n	summer weather	weather																							
Noaua	noaʊɑ	n	Long summer 	time																							
nobae	nobe	n	salt water																								
nobi	nobi	n	salt																								
nodeka	nodɛkɑ	n	traveler; wanderer																								
nodel	nodɛl	n	prayer (from personal-journey)																								
noderamikte	nodɛɾɑmiktɛ	n	mass migration 																								
noderate	nodɛɾɑtɛ	n	migration 																								
nodete	nodɛtɛ	n	journey; usually for the purpose of soul searching or self discovery; pilgrimage																								
nodetel	nodɛtɛl	n	self-evaluation/assessment (from personal-journey) 																								
noen	noɛn	n	parrot																								
noie	nɔɪɛ	n	hot pot; fondue pot (both the pot and the food)	food																							
nok	nok	n	paws (henok for one)	body																							
nokaic	nokaɪç	n	tubers; roots; (from fox paws)	plants																							
nokesh	nokɛʃ	n	toe beans; paw pads	body																							
nokshy	nokʃə	n	flour made from tubers or beans	food																							
noliu	noliu	n	old growth forest																								
nonai	nonai	n	amber																								
nothon	noθon	n	option																								
nreuc	n̩ɾœç	n	bad feeling; ill omen																								
nto	n̩to	n	point																								
nton	n̩ton	n	south	direction																							
ntonat	n̩tonɑt	n	South Pole (far south)	direction																							
Ntonikh	n̩tonikʰ	n	Southern Ice																								
nuc'e	nuçʔɛ	n	beach; shore (also kyeum)																								
nue	nuɛ	n	psyche; soul; spirit; mind; personality (thing that makes you you)																								
nuenu	nuɛnu	n	consciousness; mental state																								
nusjo	nusʒo	n	silence																								
nyng	nəŋg	n	hunger; physical need for something																								
o'enna	oʔɛnnɑ	n	beginning; start of																								
obebme	obɛbmɛ	n	waste; trash; broken thing																								
ochon	oʧon	n	frown																								
oda	odɑ	n	commander; military officer																								
odamme	odɑmmɛ	n	obedience 																								
odate	odɑtɛ	n	command; commandment																								
odi	odi	n	cage; basket																								
ofusna	ofusnɑ	n	immortality																								
ohe	ohɛ	n	emotion; feeling																								
ohen	ohɛn	n	feeling; sensation																								
ohi	ohi	n	butterfly	animal; insect																							
ohinue	ohinuɛ	n	soul butterfly (from myth that souls migrate to the after life on a butterfly; yearly butterfly migration is celebrated as a day of the dead)	culture																							
ohku	ohku	n	rudder																								
ohweme	ohʷɛmɛ; oːwɛmɛ	n	hidden thing; secret																								
Oitje	ɔɪdʒɛ	n	earth deity (connected to a myth of the sun in a pot; forms the basis of practice of spirit jars - uses -je title)																								
ojg	oʒg	n	bark																								
ojli	oʒli	n	peel; rind (from bark skin)																								
okamba	okɑmbɑ	n	ox (horned cow)																								
okjo	okʒo	n	horn																								
okli'enak	okliʔɛnɑk	n	horned lizard																								
okovh	okoβ	n	croissant (from okjo - horn and tovh - bread)	food																							
oncu	onçu	n	cooking measurement (based on cup)	measure																							
oncuzi	onçuzi	n	cooking measurement (based on half cup; also called (on)penga'e (coconut water))	measure																							
onden	ondɛn	n	cooking measurement (based on seasoning to taste; a dash/pinch of something)	measure																							
onden	ondɛn	n	handfull (lit cup hand) more often shortened to ond to differ from the much smaller cooking amount																								
oneu	onœ	n	spoon																								
onmu	onmu	n	measurement (based on tablespoon)	measure																							
onoa	onoɑ	n	woman; wife; adult woman; -noa = Mrs. (title)	culture																							
onoe	onoɛ	n	man; husband; adult man; -noe = Mr. (title)	culture																							
onso	onso	n	cooking measurement (based on teaspoon)	measure																							
owa'i	owɑʔi	n	possession; property; (lit own thing)																								
owate	owɑtɛ	n	own; concept of possession (as in your own; acts a bit like a pronoun; bit archaic; often use the -el ending on pronouns instead)																								
pad	pɑd	n	door																								
pad'aro	pɑdʔɑɾo	n	portal; door to the unknown																								
paija	paiʒɑ	n	ingredient (from paya + ja; also called sem'i)																								
paikeb	paikɛb	n	batter (paija + ukeb)	food																							
paikekiis	paikɛkɪs	n	pancake																								
paiken cyphy	paikɛn çəɸə	n	dutch baby; German pancakes; yorkshire pudding (fluffy egg batter)	food																							
paikenata	paikɛnɑtɑ	n	crepe	food																							
paikendu	paikɛndu	n	egg batter	food																							
paikewsii	paikɛʍusɪ	n	takoyaki (squid batter)	food																							
paj	pɑʒ	n	squash	food																							
pajwly	pɑʒʍulɑ	n	squash flower	plant																							
pang	pɑŋg	n	net																								
paq	pɑq	n	nation; country; homeland																								
paqli	pɑqli	n	country border (nation wall)																								
paya	pɑjɑ	n	food; meal	food																							
payan	pɑjɑn	n	plum 	food																							
payanaec	pɑjɑneç	n	restaurant																								
payannaec	pɑjɑnneç	n	plum house																								
payauri	pɑjaʊɾi	n	feast; festival food	culture																							
pe	pɛ	n	tough																								
peng	pɛŋ	n	water bag/bottle																								
pengabaya	pɛŋɡɑbɑjɑ	n	coconut tree (also pengatsol)	tree																							
pengai	pɛŋɡaɪ	n	coconut (lit water.bottle fruit); also used for weight (approximately 5 pounds)	food; measure																							
pengudi	pɛŋɡudi	n	coconut milk	drink																							
pengwen	pɛŋɡʷɛn	n	green or young coconut (from light.green coconut/water.bottle) also used for weight (approx 2.5 lbs or 1 kg)	food; measure																							
phakhi	ɸɑkʰi	n	arrow																								
phalet	ɸɑlɛt	n	bigger picture; life plan; destiny; purpose of life																								
phang	ɸɑŋ	n	might; strength 																								
phekhod	ɸɛkʰod	n	paper mache (paper hole)																								
phu	ɸu	n	air																								
phu'a	fuʔɑ	n	breath																								
phu'akano	ɸuʔɑkɑno	n	breath stone (also called phu'ae; dense, partially translucent turquoise gem that forms in underwater conditions; comprised of two layers where the inner layer reacts in water to release breathable air)	stone; wbw																							
phuchu	ɸutʃu	n	popcorn (also phurul - more for any popped grain)	food; wbw																							
phuji	ɸuʒi	n	catfish (from trout cat or breath cat)	fish; marine; wbw																							
phun	ɸun	n	trout 	animal; fish																							
phurub	ɸuɾub	n	bubble																								
phurulba	ɸuɾulbɑ	n	round popcorn; much lighter due to the puffed nature of its formation (often phuuba)	food; wbw																							
pili	pili	n	skin; epidermis 																								
po	po	n	back	body																							
pyae	pʲe	n	nose	body																							
pyaesiiq 	pʲesɪq	n	aardvark (lit nose bear)																								
pyano	pjɑno	n	piano																								
pykhod	pəkʰod	n	nostril	body																							
qais	qais	n	clock (originally used water)																								
qateno	qɑtɛno	n	monster (dehumanized form of teno (household deity) malicious ghost or one that's lost their sanity)	animal																							
qautkyus	qaʊtkʲus	n	quintet lark (from hit and play instrument; brighter colored lark (reds; oranges; and sometimes blues) very musical in voice and use of tools; mimics the sound of instruments and will often form small ensembles;  also a style of music in Vhuteya)	animal; bird; wbw; music																							
qautme	qaʊtmɛ	n	fight																								
qe'etiip	qɛʔɛtɪp	n	frog (rattle ears; shortened to qe'iip (also the onomatopoeia))	animal; fish																							
qi'mang	qiʔmɑŋ	n	cure; tonic; medicine; method of healing (from make whole)																								
qi'mii	qiʔmɪ	n	mercy																								
qii	qɪ	n	grassland (usually near a river)																								
qii'a	qɪʔɑ	n	meadow (little grassland)																								
qiin'e	qɪnʔɛ	n	waterfall 																								
qiinaetel	qɪnetɛl	n	streamfall; water spout; faucet/pumped water																								
qiinil	qɪnil	n	dripleaf (from fall plant)	plant																							
qiinoa	qɪnoɑ	n	savannah	landscape																							
qirei	qiɾei	n	opal	stone																							
qoa	qoɑ	n	gold																								
qom	qom	n	bone																								
qomyt	qomət	n	bone-faced warg (canis osvultus; from bone amyt (dog mount) or group of bones)	animal																							
qoxo	qoxo	n	feather																								
qoxocen	qoxoçɛn	n	feather fern (often qoxen)	plant																							
qoxolyun	qoxolʲun	n	feather star (marine animal)	animal; fish																							
qoxore	qoxoɾɛ	n	turkey (dirt feather)	animal; bird																							
qoy	qoj	n	rice (of a variety that can grow in saltwater)	food&																							
qoynaec	qojneç	n	warehouse (rice house)																								
qri	q̩ɾi	n	cornerstone (from corner (both types) essence)																								
qup'i	qupʔi	n	carrying; load; burden; cargo (plural but use singular - also known as vei'i) 																								
qwl	qʍul	n	inside corner (jutting away; space you can occupy)																								
qywr	qəwɾ	n	fire worm	animal; insect																							
r'is	ɾ̩ʔis	n	footstep; footprint																								
r'ishe	ɾ̩ʔiʃɛ	n	stairs																								
r'isyt	ɾ̩ʔisət	n	footprints; the path you make through something (you're the trailmaker); steps																								
ra'	ɾɑʔ	n	force (especially of the physics sense)																								
rbai	ɾbai	n	sphere																								
re	ɾɛ	n	earth; soil; dirt																								
rem	ɾɛm	n	pen; pencil; writing implement																								
remka	ɾɛmkɑ	n	author; writer																								
ren	ɾɛn	n	dream																								
renae	ɾɛne	n	illusion; mirage (water dream)																								
renaek	ɾɛnek	n	the feeling of falling asleep and then jolting back awake																								
renen	ɾɛnɛn	n	future																								
rhan	r̥ɑn	n	parlor; living room; dining room (room where most social interactions happen in the house)	culture																							
rhenjyt	ɾ̥ɛnʒət	n	vacation; holiday; time off (from peaceful group)																								
rhivae	ɾ̥ive	n	canal (from clean water)																								
rhnejo	ɾ̩̊nɛʒo	n	calm; relaxation																								
rhnme	r̥n̩mɛ	n	bath; usually in a hot spring; but can include showers or other types of bathing																								
rhnmetya	r̥n̩mɛtjɑ	n	bath house; onsen (the hot spring itself is called kephunoa) includes massages; meditiation and rhnvham																								
rhnte	r̥n̩tɛ	n	art or meditating; relaxing; and finding inner peace																								
rhntetya	r̥n̩tɛtjɑ	n	place of healing; holy place																								
rhnvham	r̥n̩βɑm	n	series of stretches similar to mix of tai chi and yoga																								
rhnvhime	r̥n̩βimɛ	n	massage																								
rhou	ɾ̥oʊ	n	dusk																								
rhoumeu	ɾoʊmœ	n	lilac (lit dusk cloud)	plant																							
ri	ɾi	n	essence; central part; building block; base 																								
riel	ɾiɛl	n	personal nature, own nature (personal essence)																								
riiskaun	ɾɪskaʊn	n	albino person (pale person)																								
riiskil	ɾɪskil	n	albino plant	plant																							
riisyytyng	ɾɪsjətəŋg	n	albino animal	animal																							
riiyyn	ɾɪjən	n	shade 																								
rina	ɾinɑ	n	woman (unmarried); girl; miss; -'in = title	culture																							
riqwl	ɾiqʍul	n	grid (lit essence inside.corner)	wbw																							
riqwlovh	ɾiqʍuloβ	n	waffle (from grid bread; sometimes just qwlo)	food; wbw																							
risris	ɾisɾis	n	Rihs's Mimic (black bird of prey that enters other bird burrows and mimics/lures the birds using calls and its lighter colored stomach plumage)	animal; bird; wbw																							
rite	ɾitɛ	n	chariot																								
ritsikakveu	ɾitsikɑkvœ	n	arithmetic																								
riu	ɾiu	n	surface; plane (has some basis of ri as essence)																								
rivun	ɾivun	n	chance; odds; opportunity																								
ro 	ɾo	n	pebble; nugget; small roundish thing (used for counting; and in pet names for kids a lot)	culture																							
rone	ɾonɛ	n	man (unmarried); lad; boy; -'on = title	culture																							
roq	ɾoq	n	event; instance; occurence; moment; time (usually viewed as a whole rather than just the initial part of something (lyus))																								
rowyn	ɾowən	n	magic rune; compounds as wyn																								
royoj	ɾojoʒ	n	grandchild																								
royt	ɾojt	n	mud worm	animal; insect																							
ruii	ɾuɪ	n	unrefined ore																								
ruiijima	ɾuɪʒimɑ	n	furnace (lit ore oven)																								
rujjo	ɾuʒʒo	n	goodness																								
ruk	ɾuk	n	reflection																								
ruksian 	ɾuksiɑn	n	lighthouse																								
rumadj	ɾumɑdʒ	n	gospel (good news)																								
ruo	ɾuo	n	meeting place; conference; gathering																								
ruoban	ɾuobɑn	n	bazaar; massive out door market																								
ruoneac	ɾuoneç	n	court; meeting house																								
ruoyri	ɾuojɾi	n	community (loyal gathering)																								
ruoyrimat	ɾuojɾimɑt	n	community center (community library)																								
rushk	ɾuʃk	n	wire																								
sa'ikuy	sɑʔikuə	n	high note (from tall music)																								
sabat	sɑbɑt	n	law; rules; government																								
sadavha	sɑdɑβɑ	n	grandpa (used when addressing; often shortened to savha)	family																							
sae	se	n	cloth; weave; fabric; linen																								
saej	seʒ	n	dust; sand (pl)																								
saejben	seʒbɛn	n	sand surfer	sport																							
Saejliis; Saeliis	seʒlɪs; selɪs	n	Wednesday (sand/cloth day)	time																							
saejuk	seʒuk	n	swamp (sand mud)																								
Saejvel	seʒvɛl	n	January (sand month; cor. w/ july)	time																							
saer	seɾ	n	clothes; outfit (more formally syyte)																								
saercae	seɾçe	n	naked (lit without clothes)																								
saeri	seɾi	n	sandy (also hensae; from two different types of sand)																								
saerul	seɾul	n	 flax; long grass with edible seeds and fibers suitable for yarn production	food; wbw																							
saetovh	setoβ	n	thin flat bread (tortilla); often used to wrap meats; cheese; and vegetables; or fruit and nut spreads into convenient travel form factors	food; wbw																							
saetuiimb	setuɪmb	n	burrito 	food; wbw																							
Sakhiin	sɑkʰɪn	n	North (important north)	direction																							
sakyote	sɑkjotɛ	n	war																								
Sameun	sɑmœn	n	East (important east)	direction																							
samonajo	sɑmonɑʒo	n	homesickness; melancholy; nostalgia; an unknown sadness																								
samybi	sɑməbi	n	grandma (often shortened to samby)	family																							
samyvh	sɑməβ	n	grandmother	family																							
Sanoaliis	sɑnoɑlɪs	n	summer solstice																								
sanr	sɑnɾ̩	n	armor (also called tsiosaer)																								
Santon	sɑnton	n	South (important south)	direction																							
sari	sɑɾi	n	grape	food																							
sasriat	sɑsɾiɑt	n	poles (north and south; important farthest point)	direction																							
sasya	sɑsjɑ	n	canyon 																								
satavh	sɑtɑβ	n	grandfather	family																							
Satsuliis	sɑtsulɪs	n	winter solstice																								
sau	saʊ	n	evening	time																							
saub 	sɑʊb	n	flood; cover; blanket; veil																								
saubka'a 	saʊbkɑʔɑ	n	ink veil (mushroom - edible but toxic when consumed with alcohol)	plant; wbw																							
saugyyr	saʊɡʲəɾ	n	sheath (from cover blade; can read as evening ridge)																								
saukhae	saʊkʰe	n	boiling water																								
Sauliis	saʊlɪs	n	Monday (big moon day)	time																							
Saulu	saʊlu	n	first moon (bigger one; lit important white)																								
saulurha	saʊlur̥ɑ	n	major moonrise																								
saulusii	saʊlusɪ	n	major moonset																								
saupa	sɑʊpɑ	n	blanket; cover																								
sauqir	saʊqiɾ	n	moonstone	stone 																							
Sayog	sɑjog	n	West (important west)	time																							
sebn	sɛbn	n	king; ruler; leader	culture																							
sebntya	sɛbntʲɑ	n	kingdom																								
sema	sɛmɑ	n	meal																								
senuch	sɛnutʃ	n	fear; terror; horror (senu- for compounding)																								
senuxeth	sɛnuxɛθ	n	fear of snakes																								
ser	sɛɾ	n	elephant	animal; mammal																							
seutai	sœtai	n	rim; crown (head); (circle point)																								
shaeiin	ʃeɪn	n	beard																								
shaesyu	ʃesju	n	good graces 																								
shaik	ʃaɪk	n	throne; power; government; king; emperor																								
shaikka	ʃaɪkːɑ	n	king; emperor; person of authority or center of power 																								
shaikkhyn	ʃaɪkʰːən	n	empire (lit government floor)																								
shaiksam	ʃaɪksɑm	n	palace (from throne of the mountain)																								
shaikyau	ʃaɪkʲaʊ	n	capital city																								
shapiro	ʃɑpiɾo	n	big guard dog (breed)	animal; mammal																							
she'el	ʃɛʔɛl	n	bronze																								
sheg	ʃɛɡ	n	knot																								
shegne	ʃɛɡnɛ	n	knotted; tied; tied up																								
shel	ʃɛl	n	smell; frangrence; odor																								
sheng	ʃɛŋ	n	talent																								
sheph	ʃɛɸ	n	hair tie (from hair bind)																								
sheum	ʃœm	n	chief; tribal leader	culture																							
shi	ʃi	n	bite																								
shiari	ʃiɑɾi	n	whip																								
shig	ʃig	n	contemplative; thoughtful mood																								
shikkaeme	ʃikkemɛ	n	punishment																								
shin	ʃin	n	wick; material used to soak up something esp oil as lantern fuel																								
shinkansen	ʃinkɑnsɛn	n	terror wick; gemstone often mistaken for a hrenkan due to its slight darker color of red and in shimmer; believed to be associated with murder sites and soaking up remnant terror thereby bringing bad luck to wearers; although said to aid in anyone pursuing revenge of the murderer	stone; wbw; culture																							
shira	ʃiɾɑ	n	bird	animal; bird																							
shirodi	ʃiɾodi	n	bird cage																								
shisiv	ʃisiv	n	hornet; wasp (lit. bite bee)	animal; insect																							
shivh	ʃiβ	n	blood	body																							
shivhwikt	ʃiβwikt	n	leech; blood worm	insect																							
shokka	ʃokkɑ	n	master; decision maker; overseer; boss; judge; -sho = title	culture																							
shumbai	ʃumbaɪ	n	square (lit. straight circle)	shape																							
shuni	ʃuni	n	rabbit; bunny																								
sian	siɑn	n	tower																								
siba	sibɑ	n	way; path; trail; road (established)																								
sibae	sibe	n	chocolate	food																							
sibaliyon	sibɑlijon	n	shifting paths; labyrinth; maze																								
sibasheg	sibɑʃɛɡ	n	maze (lit knotted path)																								
sie	siɛ	n	steel; aka sietyau																								
siedir	siɛdiɾ	n	steelworks																								
siii	sɪi	n	silliness; dorkiness; the loveable quality found in children that makes them cute																								
siiq	sɪq	n	bear	animal; mammal																							
siiteng	sɪtɛŋ	n	bison	animal; mammal																							
siitit	sɪtit	n	shoes																								
siitu	sɪtu	n	ivy	plant																							
sikte	siktɛ	n	grief; mourning; sorrow																								
sira	siɾɑ	n	nature																								
sisbaetsuliisdei	sisibetsulɪsdɛi	n	the desire for hot chocolate on a cold day																								
sisi	sisi	n	sister	family																							
sisi'a	sisiʔɑ	n	younger sister	family																							
sisibae	sisibe	n	hot chocolate																								
sisibaetsuliis	sisibetsulɪs	n	cold day's hot chocolate; the experience of a hot chocolate on a cold day																								
sisibaetsuliisdete	sisibetsulɪsdɛtɛ	n	the need for hot chocolate on a cold day																								
siu	siu	n	tear (from eyes)																								
siujo	siuʒo	n	sadness; sorrow; melancholy 																								
siv	siv	n	bee	animal; insect																							
sivanka	sivɑŋkɑ	n	beekeeper 																								
sivka	sikvɑ	n	guide; leader																								
sivtya	sivtʲɑ	n	beehive (lit bee place)																								
sivuni	sivuni	n	direction																								
sivuno	sivuno	n	compass																								
soem	soɛm	n	sun																								
soemrha	soɛmr̥ɑ	n	sunrise (can shorten to sorha)																								
soemsii	soɛmsɪ	n	sunset (can shorten to sosii)																								
soemsyun	soɛmsʲun	n	sunlight (can shorten to sosyun)																								
sohu	sohu	n	tea	food																							
sot'e	sotʔɛ	n	water pig	animal; mammal																							
soti	soti	n	pig	animal; mammal																							
sotlen	sotlɛn	n	wandering pig (dinohyus; giant wild pig (rain pig))	animal;mammal																							
soxuji	soxuʒi	n	lion (from sun cat)	animal; mammal																							
suiso	suiso	n	onion	food																							
suon	suon	n	wasteland; desert; wilderness																								
sykat'a	səkɑt	n	shrimp (also called sykat; from personified wrinkle)	animal; fish																							
syn	sən	n	ram (big male sheep-like animal; with massive curling horns)	animal; mammal																							
syn	sən	n	eternity; forever; space; endless expance (also synjo)																								
synesacai	sənɛsɑçaɪ	n	eternal life (lit. eternal beginning of life and life lived)																								
syneun	sənœn	n	place of forever; endless expanse; afterlife																								
synkhus	sənkʰus	n	diamond																								
syphy	səɸə	n	water lily	plant																							
