Woord (Word),IPA,Part of Speech,Signifas (Meaning),1594,<-- numer o woordan jom woordkitabu mir
vurtic,,adjective,1. worthy,,
,,,2. worth,,
vurticon,,noun,"1. worth, worthiness",,
,,,2. dignity,,
grepon,,noun,"1. understanding, reasoning",,
,,,"2. instruction, step",,
maakfini,,verb,1. to declare,,
maakfinjon,,noun,1. declaration,,
lenkop,,noun,1. hat,,
okodu,,verb,1. to see,,
mizaru,,verb,"1. to be morally good, see no evil",,
kikazaru,,verb,"1. to allow only morally good thoughts into one's mind, hear no evil",,
iwazaru,,verb,"1. to speak morally good things, speak no evil",,
dienokwil,,noun,"1. button, something physically clickable",,
fakiljen,,noun,1. novice,,
suihi,,noun,"1. lava, magma",,
vitro,,noun,1. glass,,
flersol,,noun,1. sunflower,,
habi,,noun,1. torch,,
pisomota,,noun,"1. spike, thorn",,
pisomotajc,,noun,"1. spiky, spiny, having thorns",,
leidan,,noun,1. song,,
nimed,,preposition,1. without,,
diffon,,noun,"1. differentness, distinction, distinguishment",,
,,,2. discrimination,,
diffau,,verb,"1. to be different, make distinct",,
,,,"2. to distinguish, tell apart",,
,,,3. to discriminate,,
jenkolo,,noun,"1. race, color of one's skin",,
lawi,,noun,"1. race, group of humans separated by ancestry",,
ra,,noun,1. language,,
diopensjon,,noun,1. religion,,
kronklan,,noun,"1. government, ruling body",,
kronau,,verb,"1. to rule, run",,
kronklanic,,adjective,1. relating to the government,,
,,,2. political,,
sang,,noun,"1. organization, group",,
,,,2. society,,
sangic,,adjective,"1. societal, social",,
sangau,,verb,"1. organize, form a society",,
,,,2. group things together,,
izon,,noun,"1. beginning, start",,
lancener,,noun,"1. property, person's land",,
jener,,adjective,"1. person's, people's",,
koj,,noun,"1. state, status, situation",,
cajekic,,adjective,1. jurisdictional,,
stanserdu,,noun,"1. territory, half-country",,
Stanan Lijic,,noun,1. United Nations,,
lijic,,adjective,1. united,,
listan,,noun,"1. first-level administrative division (as a state, province, or oblast)",,
Listanan Lijic,,noun,1. United States,,
stananlijici,,adjective,"1. of, by, or relating to the United Nations",,
,,,"2. trust, as of the United Nations trust territories",,
seskronau,,verb,1. to self-govern,,
seskronauc,,adjective,1. self-governing,,
seskronaun,,noun,1. self-governance,,
mimi,,pronoun,1. myself,,
tutu,,pronoun,1. yourself,,
sese,,pronoun,"1. himself, herself, theirself, itself",,
ses,,noun,1. self,,
niaplac,,noun,"1. barrier, block",,
,,,2. limit,,
niaplaci,,adjective,1. limited,,
niaplacau,,verb,1. to limit,,
fuss,,noun,"1. wealth, abundance, plenty",,
kronerfuss,,noun,"1. wealth, riches",,
fussic,,adjective,"1. wealthy, rich",,
,,,"2. expensive, lavish",,
cajekogar,,noun,"1. room, as in a house",,
antifussic,,adjective,"1. not expensive, reasonable",,
,,,"2. (slang) expensive, lavish",,
obaj,,verb,"1. to build, construct",,
obajn,,noun,"1. building, structure",,
obajc,,adjective,"1. building, constructing",,
ferner,,noun,1. fauna,,
,,,2. nature,,
placfernerkilpion,,noun,1. nature preserve,,
fernerkilpion,,noun,1. nature protection,,
lasse,,verb,"1. to let, allow, permit",,
,,,"2. to happen, occur",,
lassen,,noun,"1. approval, permission",,
,,,"2. happening, occurrence",,
lassic,,adjective,"1. letting, allowing, permitting",,
,,,"2. happening, occurring",,
antilassen,,noun,1. disapproval,,
antilassic,,adjective,"1. disapproved, permitless",,
sukop,,noun,1. neck,,
lenskop,,noun,"1. scarf, shawl",,
lensoldat,,noun,1. armor,,
novajen,,noun,1. journalist,,
,,,"2. newsreader, news anchor",,
nova,,noun,1. newspaper,,
,,,2. news,,
novapensi,,noun,1. editorial news,,
tina,,adverb,1. twice,,
,,interjection,1. used to warn that a second chance will not be given or that the second time will be the last,,
sujaukis,,noun,"1. tear, droplet",,
terpui,,noun,"1. cannon, big gun",,
terkronjenstan,,noun,1. emperor,,
Turci,,noun,1. Turkey,,":flag_tr: : tis jen lebli jom Turci, tis jen li Turce, tis jen hanaseli Turcira, tis li Turcen"
Turce,,adjective,1. Turkish,,
Turcira,,noun,1. the Turkish language,,
Turcen,,noun,1. a Turkish person,,
m'-,,pronoun,"1. I, me",,
t'-,,pronoun,1. you,,
,,determiner,2. this,,
s'-,,pronoun,"1. he, she, they, it",,
tili,,verb,1. this is,,
,,noun,1. powder,,
sali,,verb,1. that is,,
kjo,,determiner,1. which,,
keca,,determiner,1. when,,
keplac,,determiner,1. where,,
kesi,,determiner,1. how,,
kjen,,determiner,1. who,,
oksjupi,,verb,1. to fall,,
oksjupjon,,noun,"1. fall, falling",,
oksjupic,,adjective,1. in freefall,,
cajekcas,,noun,1. spacetime,,
antifini,,adjective,"1. infinite, endless",,
antifinjon,,noun,"1. infinity, endlessness",,
metsu,,preposition,1. toward,,
ok,,verb,1. to move,,
antisjas,,verb,"1. to unblock, allow passage",,
vjerser,,noun,1. insect,,
flejvjerser,,noun,"1. butterfly, moth",,
z'li,,verb,1. that is,,
kronobajn,,noun,1. castle,,
mik,,determiner,1. some,,
mikkjo,,determiner,"1. some of the options, somewhich",,
mikkeca,,determiner,1. sometime,,
mikkeplac,,determiner,1. somewhere,,
mikkesi,,determiner,1. somehow,,
mikkjen,,determiner,1. somewhom,,
mikke,,pronoun,1. something,,
kepo,,determiner,1. where,,
mikkepo,,determiner,1. somewhere,,
amicon,,noun,"1. love, tenderness",,
cuk,,noun,"1. bit, small portion",,
amajen,,noun,"1. lover, spouse",,
izonau,,verb,"1. to begin, start",,
atenon,,noun,"1. stopping, pausing",,
hic,,adjective,1. fire,,
antisloov,,verb,1. to wake up,,
antizi,,verb,1. to wake up,,
tak,,conjunction,"1. then, at that time",,
,,noun,"1. then, that time",,
slen,,verb,"1. to hit, beat, strike",,
moter,,adjective,"1. relating to death, causing death",,
,,,2. violent,,
motern,,noun,1. something that causes death,,
,,,2. violence,,
strijdlibre,,noun,"1. protest, demonstration, freedom walk",,
strijdmal,,noun,1. protest for wrong or evil caues,,
maner,,adjective,1. man's,,
manner,,adjective,1. men's,,
femer,,adjective,1. woman's,,
femner,,adjective,1. women's,,
kronjenmakens,,verb,1. to vote,,
kronjenmakenson,,noun,1. election,,
ganje,,verb,1. to win,,
sjin,,verb,"1. to shake, move around",,
wamwambambamau,,verb,1. to bomb,,
halt,,adverb,1. more,,
t'-r,,affix,1. your,,
m'-r,,affix,1. mine,,
kilpidi,,verb,"1. to seek refuge, seek asylum",,
jenkilpidjon,,noun,1. refugee,,
Evrop,,noun,1. Europe,,
Evrope,,adjective,1. European,,
Lijion Evrope,,noun,1. European Union,,
dasj,,noun,"1. dash, hyphen",,
asjva,,noun,1. horse,,
kilpidjon,,noun,1. asylum,,
kronerklan,,noun,"1. company, profit group",,
antikronerklan,,noun,"1. charity, non-profit group",,
kronerklanman,,noun,"1. CEO, leader of a company",,
tacomi,,verb,1. to take in,,
,,,"2. to undertake, undergo",,
tacomjon,,noun,1. undertaking,,
,,,2. risk,,
kronertacomjon,,noun,1. business,,
mankronertacomi,,noun,1. entrepreneur,,
kronertacomi,,verb,1. to do business,,
ore,,interjection,1. come on,,
-alt,,affix,1. used to form the comparative,,
halter,,adverb,1. most,,
,,noun,1. most,,
-alter,,affix,1. used to form the superlative,,
chigalter,,verb,"1. to work hard, strive",,
,,,"2. to be determined, focus",,
chigaltern,,noun,1. focus,,
beze,,verb,"1. (slang) to have sex with, fuck",,
lebjodi,,adjective,1. successful,,
lebjodjon,,noun,1. success,,
antilebjodi,,adjective,1. unsuccessful,,
antilebjodjon,,noun,1. failure,,
vurteu,,verb,"1. to cost, require a payment",,
hanasi,,adjective,1. relating to speaking or talking,,
kanase,,verb,"1. to answer, respond, reply",,
persem,,adverb,1. why,,
mikkersem,,adverb,"1. somewhy, for some reason",,
lifle,,noun,1. flying insect,,
semvek,,determiner,1. how,,
lekt,,noun,1. dialect,,
nata,,noun,1. night,,
antidista,,adjective,1. short,,
diston,,noun,1. longevity,,
antidiston,,noun,1. shortness,,
terer,,adjective,"1. extreme, intense",,
nosjau,,verb,1. to smell,,
nosjaun,,noun,"1. smell, odor",,
nosjaunmal,,noun,1. bad odor,,
nosjaunbel,,noun,1. good odor,,
k'li,,verb,1. that is (where that is the relative pronoun),,
gebsaja,,verb,1. to give away,,
,,,2. to offer,,
venytta,,verb,1. to stretch,,
tujen,,verb,1. to exhaust,,
placmakens,,noun,1. court,,
placmakenskop,,noun,1. judge,,
placmakensjen,,noun,"1. one in court, litigant",,
placmakensjenen,,noun,1. jury,,
najali,,verb,1. to be here,,
sajali,,verb,"1. to be there, be away",,
makenson,,noun,"1. decision, judgment",,
placmakensau,,verb,"1. to judge, decide formally",,
terson,,adjective,1. loud,,
woordan,,noun,1. words (exception to the most recent vowel rule present in -r and -n),,
amok,,conjunction,1. unless,,
nej,,adjective,1. artificial,,
sujantera,,noun,"1. conpidgin, liquid conlang",,
nasa,,adjective,"1. strange, weird",,
andrakronjen,,noun,1. the leader of the opposition,,
andrakronklan,,noun,"1. opposition, as in politics",,
,,,1. the Shadow Cabinet,,
riwageb,,verb,1. to take a photo,,
ilriwageb,,noun,"1. camera, photo taker",,
terau,,verb,1. to make big,,
,,,"1. to zoom, as of a camera",,
antestra,,noun,1. disaster,,
antestric,,adjective,1. disastrous,,
antestrau,,verb,1. to make a disaster,,
na,,adverb,1. here,,
sa,,adverb,1. there,,
aardpomo,,noun,1. potato,,
alowa,,noun,1. echo,,
antisoldirn,,noun,1. peace,,
antisoldirnic,,adjective,1. peaceful,,
mikn,,pronoun,1. some,,
vaksjen,,verb,1. to grow,,
ofset,,verb,"1. to be obsessed, be preoccupied",,
ofsec,,adjective,"1. obsessed, preoccupied",,
ilofset,,noun,"1. topic that obsesses, topic that preoccupies",,
ilofsec,,adjective,"1. causing obsession, causing preoccupation",,
piloj,,verb,1. to heal,,
pilojn,,noun,1. health,,
Tweefem,,noun,1. Sacagawea,,
Cagawija,,noun,1. Sacagawea,,
musion,,noun,"1. fun, amusement",,
ilspeel,,noun,1. sport,,
Serdujen,,noun,1. Hobbit,,
Mikael Jordan,,noun,1. Michael Jordan,,
Jordanic,,adjective,1. like Michael Jordan,,
,,verb,1. (slang) to come out of retirement,,
sjo,,adverb,"1. too, likewise",,
maidjon,,noun,"1. cause, reasoning",,
speelon,,noun,1. play,,
pilojnskap,,noun,1. medical profession,,
pilojnskaper,,noun,"1. doctor, physician",,
krontak,,verb,1. to get paid,,
krongeb,,verb,1. to pay,,
speeljen,,noun,"1. player, athlete",,
perdu,,verb,1. to lose,,
songrama,,noun,1. music note,,
klansongrama,,noun,1. chord,,
lefkeb,,verb,1. to award,,
lefkebn,,noun,"1. award, reward, prize",,
izonic,,adjective,"1. basic, starting, rudimentary",,
mici,,determiner,1. any,,
mikji,,determiner,1. any,,
j'-,,noun,1. one,,
riwaplac,,noun,"1. studio, place for photography or videography",,
Kirgis,,noun,1. the Kyrgyz people,,
,,adjective,1. Kyrgyz,,
Kirgisistan,,noun,1. Kyrgyzstan,,
Kirgisistanic,,adjective,1. Kyrgyz,,
Kirgisira,,noun,1. the Kyrgyz language,,
Kirgisjen,,noun,1. a Kyrgyz person,,
nursol,,noun,"1. sunlight, sunshine",,
janim,,noun,"1. darling, sweetheart",,
mirama,,noun,"1. darling, sweetheart",,
jebeskopaja,,noun,"1. darling, sweetheart",,
alecas,,adverb,"1. always, forever",,
minjomti,,adverb,"1. together (comes from the words for ""we're all in this"", so naturally the collective meaning would be...)",,
takki,,noun,"1. shop, store",,
mokutakki,,noun,1. restaurant,,
iltakki,,noun,1. grocery store,,
-aj,,affix,1. used to interjectionalize words,,
ike,,verb,"1. to walk relaxedly, stroll",,
bergen,,noun,1. mountain,,
gradtwee,,noun,1. eagle,,
tel,,noun,1. flower,,
n'-,,determiner,1. one,,
hu,,verb,1. to whistle,,
won,,noun,1. whistle,,
ohatwee,,noun,1. owl,,
ohitawa,,noun,"1. malevolent spirit, wendigo",,
friss,,noun,1. sense of fear,,
osorfriss,,noun,1. sense of fear,,
jekt,,verb,1. to throw,,
terjen,,noun,1. giant,,
,,,2. (slang) tall person,,
vers,,preposition,"1. against, versus",,
l'-,,noun,"1. thing that is, thing of",,
tizlejroto,,noun,"1. skin (originally t'izle jom roto ""what you see on body"" which is skin)",,
-'l,,verb,1. to be,,
chirdista,,noun,1. grin,,
lilidiopensjon,,noun,1. heathenry,,
lilidiopensjen,,noun,1. heathen,,
diopensjen,,noun,1. religion member,,
malman,,noun,"1. coward, rude person",,
antiamajen,,noun,"1. hater, despiser",,
mokuroto,,noun,1. stomach,,
mokwalt,,verb,1. to starve,,
mokwalton,,noun,1. starvation,,
dialc,,adjective,"1. gluttonous (from di halt -ic ""want more ADJZ"")",,
mn,,interjection,1. muttering sound used to indicate thinking or discontent,,
yl,,noun,1. oil,,
ylsap,,noun,1. beer,,
ylauto,,noun,"1. petroleum, gas, car oil",,
plosk,,adjective,1. flat,,
ploskbolu,,noun,"1. pancake, flat cake",,
ditanmakil,,noun,"1. ingredient, prerequisite (from di tan mak il ""need to make thing"")",,
bolosui,,noun,"1. bottle, as of water or other liquid",,
ser-,,affix,"1. used before a number to indicate the following digits comprise the fractional part and not the integer part, audible radix point",,
flerklaro,,noun,1. vanilla,,
dini,,verb,1. to not need,,
,,adjective,"1. optional, not needed or required",,
tilimoku,,noun,1. flour,,
ylbunda,,noun,1. butter,,
skatau,,verb,"1. to heat, warm up, make hot",,
fizdau,,verb,"1. to cool, freeze, make cold",,
el,,noun,"1. stick (seximal unit of length, halfway between a meter and a yard)",,
Selsj,,noun,1. Anders Celsius,,
,,,2. Celsius temperature scale,,
skatauplosk,,verb,1. to cook in a pan,,
,,,2. to cook,,
skatauploskon,,noun,1. pan,,
misj,,verb,1. to mix,,
misjmisj,,verb,"1. to whisk, mix aggressively",,
serdag,,noun,"1. span (kunimunean seximal unit of time, 6 4/6 minutes)",,
wa,,interjection,1. wow,,
rev,,noun,1. fox,,
ekrin,,noun,1. writing,,
linjasui,,noun,"1. ripple, water line",,
verta,,verb,1. to turn,,
nil,,noun,"1. idea (from ni il ""not thing, abstract concept, idea"")",,
Sevu,,noun,1. Tsevhu,,
Makjaveli,,noun,1. Machiavelli,,
Donald,,noun,1. Donald,,
Don,,noun,1. Don,,
antisanda,,noun,"1. (slang) young, usually rebellious, man",,
landa,,noun,"1. (slang) woman who is not attractive (from lili sanda ""young old woman"")",,
dibujn,,noun,"1. drawing, painting",,
mikli,,determiner,1. few,,
kjener,,determiner,1. whose,,
kitau,,verb,1. to read,,
kiomi,,noun,"1. interest, hobby",,
prefere,,verb,"1. to prefer, like",,
hanaseni,,verb,"1. to refuse, reject, not accept",,
