Entry Word:,Pronunciation,POS,Meaning,Verb Class,,Volition status,,,,first number is used in counting up from 1 (hai is also used in time); second number is the generally used modifier (number + noun) ,,,,tanmqe/ camgyu ,,,,,,,,teptyu (coinage system),,,,,
vulak,vulɑk,v,burn down (on fire),4,,,,,,,,,,,,,,,,,,,,,,,
vulvh,vulβ,v,burn; on fire,3,,,,,,,,,,,,,,,,,,,,,,,
vuvha,vuβa,v,burn; set fire,3,,,,,,,,,,,,,,,,,,,,,,,
weya,wɛjɑ,v,sail; travel by water,1,,,,,,,,,,,,,,,,,,,,,,,
wnam,ʍunɑm,v,swallow food/drink; to drink,1,,,,,,,,,,,,,,,,,,,,,,,
wnam'en,ʍunɑmʔɛn,v,swallow; gulp reflexively,1,,,,,,,,,,,,,,,,,,,,,,,
won,won,v,bow; lower head,1,,,,,,,,,,,,,,,,,,,,,,,
wonvha,wonβɑ,v,bow; lower body,3,,,,,,,,,,,,,,,,,,,,,,,
wynkae,wənke,v,sell (actor focus),4,,,,,,,,,,,,,,,,,,,,,,,
wynlkae,wənlke,v,sell; buy (item focus),4,,,,,,,,,,,,,,,,,,,,,,,
wynmkae,wənmke,v,buy,4,,,,,,,,,,,,,,,,,,,,,,,
xale',xɑlɛʔ,v,gag (CL1 active mostly because onomatopoeic),1,,,,,,,,,,,,,,,,,,,,,,,
xale'en,xɑlɛʔɛn,v,vomit,1,,,,,,,,,,,,,,,,,,,,,,,
xavaec,xɑveç,v,mishear,1,,,,,,,,,,,,,,,,,,,,,,,
xavida,xɑvidɑ,v,lose (a war through strategy) against,4,,,,,,,,,,,,,,,,,,,,,,,
xavikae,xɑvike,v,lose (a fight/war) against,4,,,,,,,,,,,,,f,,,,,,,,,,
xavitso,xɑvitso,v,lose (a game) against,2,,,,,,,,,,,,,,,,,,,,,,,
xaxuo'en,xɑxuoʔɛn,v,obsessed with; fixated on,1,,,,,,,,,,,,,,,,,,,,,,,
xepa,xɛpɑ,v,pull; pull on,1,,,,,,,,,,,,,,,,,,,,,,,
xepaqi,xɛpɑqi,v,tug; tug on/at,1,,,,,,,,,,,,,,,,,,,,,,,
xetkau,,v,be cautious; show caution; look for danger,1,,,,,,,,,,,,,,,,,,,,,,,
xetkauyo,,v,caution; warn (of potential danger),1,,,,,,,,,,,,,,,,,,,,,,,
xuo'en,xuoʔɛn,v,be interested in; show intersted in; pique your interest,1,,,,,,,,,,,,,,,,,,,,,,,
xuoyo,xuojo,v,find interest/enjoyment in,1,,,,,,,,,,,,,,,,,,,,,,,
xupu'en,xupuʔɛn,v,droop; slouch,1,,,,,,,,,,,,,,,,,,,,,,,
yanevh,jɑnɛβ,v,grow ,3,,,,,,,,,,,,,,,,,,,,,,,
yanevha,jɑnɛβa,v,help grow; grow something,3,,,,,,,,,,,,,,,,,,,,,,,
yfuykae,əfuəke,v,dredge; pull up from underwater,4,,,,,,,,,,,,,,,,,,,,,,,
ynfu'a,ənfuʔɑ,v,inhale,1&,,,,,,,,,,,,,,,,,,,,,,,
yon,jon,v,move; shift,1,,,,,,,,,,,,,,,,,,,,,,,
yoty,jotə,v,place hand on,1*,,,,,,,,,,,,,,,,,,,,,,,
yotynae,jotəne,v,pat; pet,1*,,,,,,,,,,,,,,,,,,,,,,,
yukycet,jukəçɛt,v,change into; turn into; morph,2&,,,,,,,,,,,,,,,,,,,,,,,
yukyse,jukəsɛ,v,change; affect; impact; influence,2,,,,,,,,,,,,,,,,,,,,,,,
zeki,zɛki,v,resist; stand against,&,,,,,,,,,,,,,,,,,,,,,,,
zyleul,zəlœl,v,trespass; to be in the wrong place (on purpose),1,,,,,,,,,,,,,,,,,,,,,,,
zyleul'en,zəlœlʔɛn,v,to be in the wrong place (accidentally; kinda implies something put you there a bit),1,,,,,,,,,,,,,,,,,,,,,,,
zyleulman,zəlœlmɑn,v,pry (into another's thoughts),3,,,,,,,,,,,,,,,,,,,,,,,
zyleulse,zəlœlsɛ,v,sneak,2,,,,,,,,,,,,,,,,,,,,,,,
zyleultso,zəlœltso,v,wander somewhere accidentally; trespass,2,,,,,,,,,,,,,,,,,,,,,,,
zyleulvha,zəlœlβɑ,v,intrude ,3,,,,,,,,,,,,,,,,,,,,,,,
tanyth,,prn,"both; together; each other (implies two, but doesn't have to be)",,,,,,,,,,,,,,,,,,,,,,,,
 'Eunauri,,ppr,galaxy festival,culture,,,,,,,,,,,,,,,,,,,,,,,
Baya Imilesa,,ppr,Christmas tree,tree,,,,,,,,,,,,,,,,,,,,,,,
Caru,çɑɾu,ppr,tribe of people with deer like characteristics,tribe&,,,,,,,,,,,,,,,,,,,,,,,
Cilemui,,ppr,Easter (lit. holy dawn),,,,,,,,,,,,,,,,,,,,,,,,
Edystal,ɛdəstɑl,ppr,tribe of highly skilled traders known for their singing and musical abilities; related to the Caru,tribe&,,,,,,,,,,,,,,,,,,,,,,,
Gwiin,gwɪn,ppr,tribe of snow spirits,tribe&,,,,,,,,,,,,,,,,,,,,,,,
Hatsavhe,hɑtsɑβɛ,ppr,an underground revolution primarily marked by using tsevhu as a code; and an expansive growth of Tsavhe culture,culture&,,,,,,,,,,,,,,,,,,,,,,,
Hekatl / Yat'al',hɛkɑtl; jɑtʔɑlʔ,ppr,A tribe of dragon riders who often work as mail riders between cities (most often speak Yat'al'/ Ilexsond),tribe&,,,,,,,,,,,,,,,,,,,,,,,
Hiise,hɪsɛ,ppr,tribe of wisp like people; not much is known,tribe&,,,,,,,,,,,,,,,,,,,,,,,
Imilesa,,ppr,"Christmas (from Christ - ""anointed one"" and life/beginning)",,,,,,,,,,,,,,,,,,,,,,,,
iseb'ae,isɛbʔe,ppr,sea of glass (also called sakhodbo or keshtyakhodbo (thousand mile crater)),place,,,,,,,,,,,,,,,,,,,,,,,
Kanbriithdir,kɑnbɾɪθdiɾ,ppr,Rockforge,place,,,,,,,,,,,,,,,,,,,,,,,
Kith Kilan,kiθ kilɑn,ppr,verdant rainforest (place),place,,,,,,,,,,,,,,,,,,,,,,,
Ksh'enobyen,kʃʔɛnobjɛn,ppr,another name for the Nabian salt flats - lit thin rain water above salt (forms a natural mirror),place&,,,,,,,,,,,,,,,,,,,,,,,
Kwliin,kʍulɪn,ppr,closely related tribe of the Tkalevk; theorized to have had a common; not so distant ancestor,tribe&,,,,,,,,,,,,,,,,,,,,,,,
Matsiin,mɑtsɪn,ppr,this online dictionary (lit. lightning library),,,,,,,,,,,,,,,,,,,,,,,,
Najik,,ppr,orc; tribe of orc-like people (dark hair; greenish skin; quills) also called the Najik Horde,,,,,,,,,,,,,,,,,,,,,,,,
Nuariin,nuɑɾɪn,ppr,Vanishing tribe (elves),tribe&,,,,,,,,,,,,,,,,,,,,,,,
paiken cyphy,paikɛn çəɸə,ppr,dutch baby; German pancakes; yorkshire pudding (fluffy egg batter),food&,,,,,,,,,,,,,,,,,,,,,,,
paikenata,paikɛnɑtɑ,ppr,crepe,food&,,,,,,,,,,,,,,,,,,,,,,,
paikewsii,paikɛʍusɪ,ppr,takoyaki (squid batter),food&,,,,,,,,,,,,,,,,,,,,,,,
Qaiseuk,qaisœk,ppr,people of the Lesser Clockworks tribe,,,,,,,,,,,,,,,,,,,,,,,,
Qaisiin,qaisɪn,ppr,people of the Greater Clockworks tribe,,,,,,,,,,,,,,,,,,,,,,,,
Qatyuk,qɑtjuk,ppr,compound of 'qat' and 'tyuk'; for names of tyuk; such as Sakyote Qatyuk (Personified war); honor suffix = -qatu,culture&,,,,,,,,,,,,,,,,,,,,,,,
Riiseuk,ɾɪsœk,ppr,human (literally pale tribe; based on that humans are often albino (much much moreso than on earth)),tribe&,,,,,,,,,,,,,,,,,,,,,,,
Saestya,sestjɑ,ppr,city name (derived from place of endless sand),place&,,,,,,,,,,,,,,,,,,,,,,,
Suon Kiin,suon kɪn,ppr,rust desert (place),place,,,,,,,,,,,,,,,,,,,,,,,
Tenisul,tɛnisul,ppr,silver river (place),place&,,,,,,,,,,,,,,,,,,,,,,,
Theodeya,θɛodɛjɑ,ppr,Germany,,,,,,,,,,,,,,,,,,,,,,,,
Tkalevk,tkɑlɛvk,ppr,tribe often associated with/called leviathans; theorized as the original speakers of Tsevhu,tribe&,,,,,,,,,,,,,,,,,,,,,,,
Vanara,vɑnɑɾɑ,ppr,tribe of people with monkey like characteristics,tribe&,,,,,,,,,,,,,,,,,,,,,,,
vhuikhulu,βuikʰulu,ppr,ice-white koi fish,animal,,,,,,,,,,,,,,,,,,,,,,,
Vhuteya,βutɛjɑ,ppr,land of koi; the country of origin for tsevhu and the tsavhe,place&,,,,,,,,,,,,,,,,,,,,,,,
Xujiin,xuʒɪn,ppr,tribe with cat like features,tribe&,,,,,,,,,,,,,,,,,,,,,,,
Yat,jɑt,ppr,a person of Hekatl tribe (person of the tribe of dragon riders; usually referring to those who are out on their coming of age journey),tribe&,,,,,,,,,,,,,,,,,,,,,,,
Yriae Auri,əɾie aʊɾi,ppr,bamboo festival,culture,,,,,,,,,,,,,,,,,,,,,,,
Zyajenesa,zjɑʒɛnɛsɑ,ppr,celebration of life/beginnings (holiday; new years; sometimes called Haejenesa instead esp recently),culture,,,,,,,,,,,,,,,,,,,,,,,
 'ek,ʔɛk,post,in front,,,,,,,,,,,,,,,,,,,,,,,,
 'eq,ʔɛq,post,forward; onward,,,,,,,,,,,,,,,,,,,,,,,,
daj,dɑʒ,post,according to,&,,,,,,,,,,,,,,,,,,,,,,,
fii,fɪ,post,across; across from,,,,,,,,,,,,,,,,,,,,,,,,
gu,gu,post,down,,,,,,,,,,,,,,,,,,,,,,,,
iku,iku,post,beside; by; next to,,,,,,,,,,,,,,,,,,,,,,,,
ish,iʃ,post,way out there; past; beyond,,,,,,,,,,,,,,,,,,,,,,,,
ishvra,iʃvɾɑ,post,far (comparative; but denoting a big difference between it and the next option),,,,,,,,,,,,,,,,,,,,,,,,
je,ʒɛ,post,up,,,,,,,,,,,,,,,,,,,,,,,,
jesh ,,post,up from,,,,,,,,,,,,,,,,,,,,,,,,
jien,ʒiɛn,post,before,,,,,,,,,,,,,,,,,,,,,,,,
ka'ae,kɑʔe,post,off; off of,,,,,,,,,,,,,,,,,,,,,,,,
ka'ii,kɑʔɪ,post,out from; out of,&,,,,,,,,,,,,,,,,,,,,,,,
ka'in,kɑʔin,post,out; outside,&,,,,,,,,,,,,,,,,,,,,,,,
ka'inpo,kɑ'inpo,post,out back,&,,,,,,,,,,,,,,,,,,,,,,,
ka'mo,kɑʔmo,post,away; away from; apart,,,,,,,,,,,,,,,,,,,,,,,,
ke,kɛ,post,at; during (used with time or events),,,,,,,,,,,,,,,,,,,,,,,,
kha,kʰɑ,post,among; amidst,,,,,,,,,,,,,,,,,,,,,,,,
khot,kʰot,post,at (location),,,,,,,,,,,,,,,,,,,,,,,,
kveun,kvœn,post,between,&,,,,,,,,,,,,,,,,,,,,,,,
liin,lɪn,post,like; as (comparison); such as (for nouns); existing as; same as,,,,,,,,,,,,,,,,,,,,,,,,
loi,lɔi,post,over,,,,,,,,,,,,,,,,,,,,,,,,
maq,mɑq,post,to; toward,&,,,,,,,,,,,,,,,,,,,,,,,
mekor,mɛkoɾ,post,after,,,,,,,,,,,,,,,,,,,,,,,,
mem,mɛm,post,far from,&,,,,,,,,,,,,,,,,,,,,,,,
moni,moni,post,on; on top; on top of,,,,,,,,,,,,,,,,,,,,,,,,
muku,muku,post,along,,,,,,,,,,,,,,,,,,,,,,,,
nkor,nkoɾ,post,for; duration,,,,,,,,,,,,,,,,,,,,,,,,
pas,pɑs,post,a great deal; much; a lot; many (else pa- / ba-),&,,,,,,,,,,,,,,,,,,,,,,,
po,po,post,back,,,,,,,,,,,,,,,,,,,,,,,,
pok,pok,post,behind,,,,,,,,,,,,,,,,,,,,,,,,
rujyr,ɾuʒəɾ,post,better,&,,,,,,,,,,,,,,,,,,,,,,,
shae,ʃe,post,from (specific location); by (as in written or made by),,,,,,,,,,,,,,,,,,,,,,,,
srishvra,sɾiʃvɾɑ,post,by far (superlative; but denoting a big difference between it and any other option),,,,,,,,,,,,,,,,,,,,,,,,
tsu,ʦu,post,around,*&,,,,,,,,,,,,,,,,,,,,,,,
ur,uɾ,post,into,,,,,,,,,,,,,,,,,,,,,,,,
veur,vœɾ,post,under; below,,,,,,,,,,,,,,,,,,,,,,,,
vra,vɾɑ,post,than (comparative),*,,,,,,,,,,,,,,,,,,,,,,,
wmu,ʍumu,post,through,&,,,,,,,,,,,,,,,,,,,,,,,
wnua,ʍunuɑ,post,throughout,&,,,,,,,,,,,,,,,,,,,,,,,
yena,jɛna,post,above,&,,,,,,,,,,,,,,,,,,,,,,,
yn,ən,post,inside; in; within,,,,,,,,,,,,,,,,,,,,,,,,
jael,ʒel,"pn, det",such; mentioned previously or will be mentioned (such a ...),,,,,,,,,,,,,,,,,,,,,,,,
aero,eɾo,pn,every time; every instance (lit all pebble (used for counting)),,,,,,,,,,,,,,,,,,,,,,,,
aevi,evi,pn,everyone; everybody; all (lit all one) (pl & uses pl det),,,,,,,,,,,,,,,,,,,,,,,,
aj,ɑʒ,pn,every,,,,,,,,,,,,,,,,,,,,,,,,
aj'i,ɑʒ'i,pn,everything,*,,,,,,,,,,,,,,,,,,,,,,,
ajio,ɑʒio,pn,other; every other; all other,&,,,,,,,,,,,,,,,,,,,,,,,
an'i,ɑnʔi,pn,nothing,,,,,,,,,,,,,,,,,,,,,,,,
avi,ɑvi,pn,no one,,,,,,,,,,,,,,,,,,,,,,,,
iovi,iovi,pn,another; one more; one additional,,,,,,,,,,,,,,,,,,,,,,,,
nmio,nmio,pn,any other,,,,,,,,,,,,,,,,,,,,,,,,
nmo,nmo,pn,any,,,,,,,,,,,,,,,,,,,,,,,,
nmo'i,nmoʔi,pn,anything,,,,,,,,,,,,,,,,,,,,,,,,
nmov,nmov,pn,anyone,,,,,,,,,,,,,,,,,,,,,,,,
nru,nɾu,pn,some,,,,,,,,,,,,,,,,,,,,,,,,
nru'i,nɾuʔi,pn,something,,,,,,,,,,,,,,,,,,,,,,,,
nrusa,nɾusɑ,pn,somehow,,,,,,,,,,,,,,,,,,,,,,,,
nruvi,nɾuvi,pn,someone,,,,,,,,,,,,,,,,,,,,,,,,
oru,oɾu,pn,then,,,,,,,,,,,,,,,,,,,,,,,,
riyen,ɾijɛn,pn,somewhere,,,,,,,,,,,,,,,,,,,,,,,,
samir,sɑmiɾ,pn,sweetheart; dear,,,,,,,,,,,,,,,,,,,,,,,,
sar,sɑɾ,pn,how,,,,,,,,,,,,,,,,,,,,,,,,
set,sɛt,pn,here,,,,,,,,,,,,,,,,,,,,,,,,
seut,sœt,pn,there ,,,,,,,,,,,,,,,,,,,,,,,,
soli,soli,pn,there (existential; out of sight),,,,,,,,,,,,,,,,,,,,,,,,
sot,sot,pn,there (in sight),,,,,,,,,,,,,,,,,,,,,,,,
tegm,tegm,pn,whatever,,,,,,,,,,,,,,,,,,,,,,,,
y'i,əʔi,pn,what,&,,,,,,,,,,,,,,,,,,,,,,,
yan,jɑn,pn,few,,,,,,,,,,,,,,,,,,,,,,,,
yen,jɛn,pn,where,,,,,,,,,,,,,,,,,,,,,,,,
yiib,jɪb,pn,why,,,,,,,,,,,,,,,,,,,,,,,,
yron,əɾon,pn,when; what time (also adv yor(-); double-check phrase is not conditional when using),,,,,,,,,,,,,,,,,,,,,,,,
yvi,əvi,pn,who,&,,,,,,,,,,,,,,,,,,,,,,,
tauh,,o,caw; crow; croak,1,,,,,,,,,,,,,,,,,,,,,,,
twnno,,"o, adj",amazing; astounding (backformation),,,,,,,,,,,,,,,,,,,,,,,,
 'u'u,,o,sound of a monkey,,,,,,,,,,,,,,,,,,,,,,,,
aek,ek,o,slam; smack,,,,,,,,,,,,,,,,,,,,,,,,
aur / rof,aʊɾ/ɾof,o,bark bark,&,,,,,,,,,,,,,,,,,,,,,,,
auu,aʊu,o,howl,&,,,,,,,,,,,,,,,,,,,,,,,
cece,çɛçɛ,o,hiss,,over+verb (augmentive~ish),base + b + class ending ,,,,,,,,,,,,,,,,,,,,,
ciym,,o,undulating; swaying (esp grass; trees; and waves),,,,,,,,,,,,,,,,,,,,,,,,
hym,,o,hum,,,,,,,,,,,,,,,,,,,,,,,,
hymteum,,v,sing/hum a tune; la da de (lit. tongue hum; liquid/approximate consonants),1,,,,,,,,,,,,,,,,,,,,,,,
ktsy,,o,tch; dang it (disappointment); ow (after getting hurt),,,,,,,,,,,,,,,,,,,,,,,,
kut,,o,"smile, grin",,,,,,,,,,,,,,,,,,,,,,,,
lyus,ljus,o,break open; break through; break free; burst; instant; moment something begins (very very short with high impact),,,,,,,,,,,,,,,,,,,,,,,,
nyau /nyu,njaʊ/nju,o,meow; mew,&,,,,,,,,,,,,,,,,,,,,,,,
oiph,,o,mutter; murmur; complain,,,,,,,,,,,,,,,,,,,,,,,,
phuteu,,o,puff of air (exhaled; plosive/stop) often just phut,,,,,,,,,,,,,,,,,,,,,,,,
phy,,o,blah (as in blah blah blah),,,,,,,,,,,,,,,,,,,,,,,,
pyiib,,o,sniff; snort,,,,,,,,,,,,,,,,,,,,,,,,
qehoc,,o,sigh (exhaled; fricative) often just hoc,,,,,,,,,,,,,,,,,,,,,,,,
tat,tɑt,o,kick at,,,,,,,,,,,,,,,,,,,,,,,,
teumiib,,o,suck in air (inhaled; ingressive) often just miib,,,,,,,,,,,,,,,,,,,,,,,,
tok,tok,o,cluck; bawk; honk; laugh (esp weirdly),,,,,,,,,,,,,,,,,,,,,,,,
xwr,xʍuɾ,o,growl,,,,,,,,,,,,,,,,,,,,,,,,
cam'kesh,çɑmʔkɛʃ,num,hundred thousand 100;000,,,,,,,,,,,,,,,,,,,,,,,,
chas,ʧɑs,num,Four 4,,,,,,,,,,,,,,,,,,,,,,,,
daec,deç,num,nine 9,,,,,,,,,,,,,,,,,,,,,,,,
gyu,gju,num,quarter,,,,,,,,,,,,,,,,,,,,,,,,
hai / mun,hai / mun,num,ten 10,,,,,,,,,,,,,,,,,,,,,,,,
hai'cam / kesh ,haiʔçam / kɛʃ,num,one thousand 1000,,,,,,,,,,,,,,,,,,,,,,,,
hai'mun / cam,haiʔmun / çam,num,one hundred 100,,,,,,,,,,,,,,,,,,,,,,,,
kvi,kvi,num,eight 8,,,,,,,,,,,,,,,,,,,,,,,,
leb,lɛb,num,three 3,,,,,,,,,,,,,,,,,,,,,,,,
leb'iin,lɛbʔɪn,num,third 3rd,,,,,,,,,,,,,,,,,,,,,,,,
mud,mud,num,Six 6,,,,,,,,,,,,,,,,,,,,,,,,
qen,qɛn,num,five 5,,,,,,,,,,,,,,,,,,,,,,,,
tan,tɑn,num,two 2,,,,,,,,,,,,,,,,,,,,,,,,
tan'iin,tɑnʔɪn,num,second 2nd,,,,,,,,,,,,,,,,,,,,,,,,
teuk,tœk,num,Seven 7,,,,,,,,,,,,,,,,,,,,,,,,
vi,vi,num,one 1,,,,,,,,,,,,,,,,,,,,,,,,
vi'iin,viʔɪn,num,first 1st,,,,,,,,,,,,,,,,,,,,,,,,
xa,xɑ,num,none; zero 0,,,,,,,,,,,,,,,,,,,,,,,,
zi,zi,num,half,,,,,,,,,,,,,,,,,,,,,,,,
twnnoel,,"n, adj",personal pride (amazing self); proud,,,,,,,,,,,,,,,,,,,,,,,,
twnnoii,,"n, adj",pride (usually in others); proud,,,,,,,,,,,,,,,,,,,,,,,,
 'aroka,ʔɑɾokɑ,n,freak,,,,,,,,,,,,,,,,,,,,,,,,
 'euna,,n,starry sky; star field; galaxy; blanket of stars; night sky,,,,,,,,,,,,,,,,,,,,,,,,
 'eunyl,,n,soul; body and spirit (lit. belonging to the starry night; from the idea that the origin of life came from the stars; composed of nue - spirit and amem - body),,,,,,,,,,,,,,,,,,,,,,,,
 'iis,ʔɪs,n,ripple,,,,,,,,,,,,,,,,,,,,,,,,
 'ol,,n,dance,,,,,,,,,,,,,,,,,,,,,,,,
(baya) tirlij,(bɑjɑ) tiɾliʒ,n,coppermint tree,tree,,,,,,,,,,,,,,,,,,,,,,,
(baya) tseugy,,n,hemlock tree; a general term for evergreen trees ,tree,,,,,,,,,,,,,,,,,,,,,,,
(baya) vhesyn,(bɑjɑ) βɛsən,n,everorange tree,tree,,,,,,,,,,,,,,,,,,,,,,,
(baya) ziyathe,(bɑjɑ) zijɑθɛ,n,peachwood tree,tree,,,,,,,,,,,,,,,,,,,,,,,
(ro) dkagyu,(ɾo) dkɑgju,n,rd; 250 dollars (mythril pip),culture,,,,,,,,,,,,,,,,,,,,,,,
(ro) qogyu,(ɾo) qogju,n,rq; 25 dollars (gold pip),culture,,,,,,,,,,,,,,,,,,,,,,,
(ro) shegyu,(ɾo) ʃɛgju,n,rs; quarter (bronze pip),culture,,,,,,,,,,,,,,,,,,,,,,,
(ro) tirgyu,(ɾo) tiɾgju,n,rt; 2.5 cents (lowest coin) (copper pip),culture,,,,,,,,,,,,,,,,,,,,,,,
(ro) ulgyu,(ɾo) ulgju,n,ru; 2.5 dollars (silver pip),culture,,,,,,,,,,,,,,,,,,,,,,,
(syn) dkazi,(sən) dkɑzi,n,sd; 500 dollars (mythril ram),culture,,,,,,,,,,,,,,,,,,,,,,,
(syn) qozi,(sən) qozi,n,sq; 50 dollars (gold ram),culture,,,,,,,,,,,,,,,,,,,,,,,
(syn) shezi,(sən) ʃɛzi,n,ss; half dollar (bronze ram),culture,,,,,,,,,,,,,,,,,,,,,,,
(syn) tirzi,(sən) tiɾzi,n,st; nickle (copper ram),culture,,,,,,,,,,,,,,,,,,,,,,,
(syn) ulezi,(sən) ulɛzi,n,su; 5 dollars (silver ram),culture,,,,,,,,,,,,,,,,,,,,,,,
(tio) dkap,(tio) dkɑp,n,td mythril mink; 1000 dollars,culture,,,,,,,,,,,,,,,,,,,,,,,
(tio) qoap,(tio) qoɑp,n,tq gold mink; 100 dollars,culture,,,,,,,,,,,,,,,,,,,,,,,
(tio) shep,(tio) ʃɛp,n,ts bronze mink; 1 dollar,culture,,,,,,,,,,,,,,,,,,,,,,,
(tio) tirep ,(tio) tiɾɛp,n,tt copper mink; coin; dime,culture,,,,,,,,,,,,,,,,,,,,,,,
(tio) ulep ,(tio) ulɛp,n,tu; silver mink; 10 dollars,culture,,,,,,,,,,,,,,,,,,,,,,,
a'o,ɑʔo,n,wrist,body,,,,,,,,,,,,,,,,,,,,,,,
ach,,n,ford; place to cross a river,,,,,,,,,,,,,,,,,,,,,,,,
adachi,ɑdɑʧi,n,sword,,,,,,,,,,,,,,,,,,,,,,,,
adar,ɑdɑɾ,n,hippopotamus,animal,,,,,,,,,,,,,,,,,,,,,,,
ae'e,eʔɛ,n,water,,,,,,,,,,,,,,,,,,,,,,,,
aeben,,n,water surfer,sport,,,,,,,,,,,,,,,,,,,,,,,
Aeliis,elɪs,n,Friday (water day),time,,,,,,,,,,,,,,,,,,,,,,,
aene,enɛ,n,pure water; drinking water,,,,,,,,,,,,,,,,,,,,,,,,
aetel,etɛl,n,stream,,,,,,,,,,,,,,,,,,,,,,,,
aiv,,n,age; years lived,,,,,,,,,,,,,,,,,,,,,,,,
aiya,aijɑ,n,head (river),,,,,,,,,,,,,,,,,,,,,,,,
ajen,ɑʒɛn,n,year,time,,,,,,,,,,,,,,,,,,,,,,,
ajencam,ɑʒɛnçɑm,n,century (lit. year hundred),time,,,,,,,,,,,,,,,,,,,,,,,
akad,ɑkɑd,n,gods; deities; divine beings; religion; centers of religious worship (very very general term; pl; but used singularly),culture,,,,,,,,,,,,,,,,,,,,,,,
aken,,n,brain; brain matter,,,,,,,,,,,,,,,,,,,,,,,,
amba,ɑmbɑ,n,cow,animal,,,,,,,,,,,,,,,,,,,,,,,
amem,,n,body; figure,body,,,,,,,,,,,,,,,,,,,,,,,
amiikjo,ɑmɪkʒo,n,perfection,,,,,,,,,,,,,,,,,,,,,,,,
amvi,ɑmvi,n,grain,food,,,,,,,,,,,,,,,,,,,,,,,
amyt,,n,dog/wolf ridden as a mount,mount,,,,,,,,,,,,,,,,,,,,,,,
ana,ɑnɑ,n,son,family,,,,,,,,,,,,,,,,,,,,,,,
anaro,ɑnɑɾo,n,grandson ,family&,,,,,,,,,,,,,,,,,,,,,,,
anatsa,ɑnɑtsɑ,n,circumstance(s),,,,,,,,,,,,,,,,,,,,,,,,
ane,,n,cliff,,,,,,,,,,,,,,,,,,,,,,,,
anglogae,ɑŋgloge,n,english,,,,,,,,,,,,,,,,,,,,,,,,
angw,,n,throat,body,,,,,,,,,,,,,,,,,,,,,,,
apha,,n,stage; raised platform; soapbox,,,,,,,,,,,,,,,,,,,,,,,,
aq,,n,joint,body,,,,,,,,,,,,,,,,,,,,,,,
aretu,ɑɾɛtu,n,temperature,&,,,,,,,,,,,,,,,,,,,,,,,
arul,ɑɾul,n,seed,plant,,,,,,,,,,,,,,,,,,,,,,,
arul'e,ɑrulʔɛ,n,seeds that fly in wind; rain seeds,plant,,,,,,,,,,,,,,,,,,,,,,,
arulveti,ɑrulvɛti,n,ant (lit. seed legs),,,,,,,,,,,,,,,,,,,,,,,,
ase,ɑsɛ,n,worker; laborer,,,,,,,,,,,,,,,,,,,,,,,,
ashkan,ɑʃkɑn,n,red granite (from red stone),&,,,,,,,,,,,,,,,,,,,,,,,
ashqoxo,,n,red feathered bird,animal,,,,,,,,,,,,,,,,,,,,,,,
Ashvel,ɑʃvɛl,n,March (red month; cor. w/ september),time,,,,,,,,,,,,,,,,,,,,,,,
asic,ɑsiç,n,feeling of stress; pressure; unease,,,,,,,,,,,,,,,,,,,,,,,,
atta,ɑttɑ,n,sweet thing; candy ,,,,,,,,,,,,,,,,,,,,,,,,
atta'a,ɑttɑʔɑ,n,pet name for small child (lit. small sweet thing),culture,,,,,,,,,,,,,,,,,,,,,,,
atzi,ɑdzi,n,distance,,,,,,,,,,,,,,,,,,,,,,,,
auk,,n,horse,mount,,,,,,,,,,,,,,,,,,,,,,,
aukka,,n,horseman; calvaryman,,,,,,,,,,,,,,,,,,,,,,,,
aukshira,,n,horse bird,mount,,,,,,,,,,,,,,,,,,,,,,,
aunan,aʊnɑn,n,color,,,,,,,,,,,,,,,,,,,,,,,,
auri,aʊɾi,n,festival; celebration,,,,,,,,,,,,,,,,,,,,,,,,
avel,ɑvɛl,n,month,time,,,,,,,,,,,,,,,,,,,,,,,
avhii,ɑβɪ,n,view; field of vision,,,,,,,,,,,,,,,,,,,,,,,,
avhish,ɑβiʃ,n,landscape (out there view),,,,,,,,,,,,,,,,,,,,,,,,
ayna,,n,plum,food,,,,,,,,,,,,,,,,,,,,,,,
aynwly,,n,plum blossom,plant,,,,,,,,,,,,,,,,,,,,,,,
bai,bai,n,circle,,,,,,,,,,,,,,,,,,,,,,,,
ban,bɑn,n,market,&,,,,,,,,,,,,,,,,,,,,,,,
bashu,,n,cucumber,food,,,,,,,,,,,,,,,,,,,,,,,
baya,bɑjɑ,n,tree,tree,,,,,,,,,,,,,,,,,,,,,,,
bayauri,,n,Christmas tree (lit. festival tree; can refer to other holiday trees),tree,,,,,,,,,,,,,,,,,,,,,,,
begwa,bɛgwɑ,n,hut,,,,,,,,,,,,,,,,,,,,,,,,
Bemyua,,n,Spring,time,,,,,,,,,,,,,,,,,,,,,,,
bemy,bɛmə,n,warmth,weather,,,,,,,,,,,,,,,,,,,,,,,
ii'bemyua,,n,Little Spring (every 10 yrs),weather,,,,,,,,,,,,,,,,,,,,,,,
ben,,n,sail,,,,,,,,,,,,,,,,,,,,,,,,
benfe,,n,sailboat,,,,,,,,,,,,,,,,,,,,,,,,
benka,,n,sailor; boatman,,,,,,,,,,,,,,,,,,,,,,,,
bensho,bɛnʃo,n,captain of a ship,,,,,,,,,,,,,,,,,,,,,,,,
beth,bɛθ,n,flower bud; blossom,plant,,,,,,,,,,,,,,,,,,,,,,,
